,Event,Year,Game Number,White Player,White ACPL,White Num Moves,Black Player,Black ACPL,Black Num Moves,Combined ACPL
584,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,1,"Zukertort, Johannes Hermann",47.68888888888889,45,"Steinitz, William",27.93478260869565,46,75.62367149758454
585,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,2,"Steinitz, William",48.11111111111112,45,"Zukertort, Johannes Hermann",28.41304347826087,46,76.52415458937199
586,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,3,"Zukertort, Johannes Hermann",28.565217391304348,46,"Steinitz, William",49.45652173913044,46,78.02173913043478
587,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,4,"Steinitz, William",29.84210526315789,38,"Zukertort, Johannes Hermann",9.564102564102564,39,39.40620782726046
588,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,5,"Zukertort, Johannes Hermann",16.451612903225808,31,"Steinitz, William",39.483870967741936,31,55.935483870967744
589,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,6,"Steinitz, William",46.13333333333333,60,"Zukertort, Johannes Hermann",62.78333333333333,60,108.91666666666666
590,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,7,"Zukertort, Johannes Hermann",50.8235294117647,34,"Steinitz, William",21.142857142857142,35,71.96638655462185
591,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,8,"Steinitz, William",25.23809523809524,21,"Zukertort, Johannes Hermann",22.52380952380953,21,47.76190476190476
592,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,9,"Zukertort, Johannes Hermann",48.51351351351352,37,"Steinitz, William",21.84210526315789,38,70.3556187766714
593,lichess_study_1886-world-championship-steinitz-zukertor_by_Lichess_2021.11.29.pgn,1886,10,"Steinitz, William",10.25,20,"Zukertort, Johannes Hermann",8.047619047619047,21,18.297619047619047
