Year,WC
1886,Wilhelm Steinitz
1889,Wilhelm Steinitz
1890,Wilhelm Steinitz
1892,Wilhelm Steinitz
1894,Emanuel Lasker
1896,Emanuel Lasker
1907,Emanuel Lasker
1908,Emanuel Lasker
1909,Emanuel Lasker
1910,Emanuel Lasker
1921,José Raúl Capablanca
1927,Alexander Alekhine
1929,Alexander Alekhine
1934,Alexander Alekhine
1935,Max Euwe
1937,Alexander Alekhine
1948,Mikhail Botvinnik
1951,Mikhail Botvinnik
1954,Mikhail Botvinnik
1957,Vasily Smyslov
1958,Mikhail Botvinnik
1960,Mikhail Tal
1961,Mikhail Botvinnik
1963,Tigran Petrosian
1966,Tigran Petrosian
1969,Boris Spassky
1972,Bobby Fischer
1978,Anatoly Karpov
1981,Anatoly Karpov
1984,No Result
1985,Garry Kasparov
1986,Garry Kasparov
1987,Garry Kasparov
1990,Garry Kasparov
1993,Garry Kasparov
1995,Garry Kasparov
2000,Vladimir Kramnik
2004,Vladimir Kramnik
2006,Vladimir Kramnik
2007,Viswanathan Anand
2008,Viswanathan Anand
2010,Viswanathan Anand
2012,Viswanathan Anand
2013,Magnus Carlsen
2014,Magnus Carlsen
2016,Magnus Carlsen
2018,Magnus Carlsen
2021,No Result
